,features,Importance
0,Desktop Computer_Q10_feat3,0.21136245481640814
1,Desktop Computer_Q1_feat4,0.13506799114131332
2,Desktop Computer_Q5_feat1,0.11673955680365355
3,Desktop Computer_Q11_feat2,0.07337628217443073
4,Desktop Computer_Q11_feat1,0.06725877211771984
5,Desktop Computer_Q2_feat1,0.05400540837332418
6,Desktop Computer_Q1_feat2,0.04393615119268177
7,Desktop Computer_Q8_feat5,0.040729814297705606
8,Desktop Computer_Q10_feat2,0.03415369958717051
9,Desktop Computer_Q12_feat5,0.027665240754923777
10,Desktop Computer_Q6_feat3,0.022270538903556462
11,Desktop Computer_Q13_feat1,0.014143236018857077
12,Desktop Computer_Q13_feat4,0.011589478081823878
13,location_1,0.009832031952732467
14,Desktop Computer_Q8_feat2,0.007298707344835483
15,Desktop Computer_Q9_feat3,0.007180746011513727
16,Q1_feat5,0.004918105765519781
17,Desktop Computer_Q7_feat3,0.004822690907846284
18,Desktop Computer_Q12_feat1,0.004774094366213627
19,Q12_feat3,0.004458869607687597
20,Q8_feat3,0.004314336630695364
21,location_3,0.004301877839825482
22,Relationship_1,0.004016115830696479
23,Q10_feat4,0.003992631192956125
24,Q13_feat1,0.0038534561573820916
25,Q10_feat3,0.0037197154115900357
26,Q11_feat5,0.0036854123252334997
27,Q4_feat3,0.00361896452806579
28,Q1_feat3,0.003375336670042401
29,Q4_feat1,0.0033424295561721535
30,Q5_feat3,0.0029333477799320332
31,Q11_feat1,0.0028364108883443375
32,Q13_feat2,0.002761051001186302
33,Q3_feat2,0.0027440972531331295
34,Q5_feat1,0.0026488256626088866
35,Desktop Computer_Q2_feat2,0.0024528442716250315
36,Desktop Computer_Q8_feat1,0.002432821053081179
37,Desktop Computer_Q9_feat1,0.0024328210530811787
38,Desktop Computer_Q10_feat4,0.0024328210530811787
39,Desktop Computer_Q13_feat2,0.0024130420201292717
40,Desktop Computer_Q12_feat3,0.0023931135127737077
41,Q8_feat2,0.0022469338617411576
42,Q12_feat1,0.0022287225553587558
43,Q9_feat6,0.0021217246802575753
44,Q6_feat1,0.0020368556930472717
45,Q1_feat7,0.0019095522122318173
46,Q7_feat1,0.0018594440045334288
47,Q9_feat3,0.0017550739325559203
48,Q7_feat3,0.0017175866459227984
49,Q10_feat1,0.0016723737033315944
50,Q1_feat4,0.0016404926077773097
51,Q2_feat3,0.001543003961114291
52,Q3_feat1,0.0015294098736856685
53,Q10_feat7,0.0015013167546820503
54,Q1_feat1,0.0013581415236203391
55,Q1_feat2,0.001273034808154545
56,Q3_feat6,0.0012730348081545445
57,Q6_feat3,0.0011639703181050602
58,Q11_feat2,0.0010269147452446636
59,Q13_feat4,0.0009137456629456306
60,Q6_feat2,0.0008486898721030298
61,Relationship_3,0.0007638208848927264
62,Q3_feat4,0.0007553938628471555
63,Q6_feat4,0.0006050559152178672
64,Q10_feat2,0.0005838605954860045
65,Q7_feat5,0.000557710487381989
66,Q8_feat1,0.0005207981227884999
67,Q2_feat5,0.0005110725259865649
68,Q9_feat2,0.0003998116848646517
69,Q9_feat1,0.00031825870203863624
70,Q9_feat4,0.00029704145523606104
71,Q12_feat2,0.0002502221438275557
72,Q3_feat3,0.00016522434822386004
73,Q7_feat2,0.00013697341014869585
74,Q12_feat5,9.517764555323432e-05
75,Relationship_2,8.082760686695353e-05
76,Q10_feat6,3.274266481877301e-05
77,Q11_feat3,2.064380769979587e-05
78,Q2_feat1,0.0
79,Q2_feat2,0.0
80,Q5_feat2,0.0
81,Q5_feat4,0.0
82,Q5_feat6,0.0
83,Q8_feat5,0.0
84,Desktop Computer_Q1_feat1,0.0
85,Desktop Computer_Q1_feat3,0.0
86,Desktop Computer_Q1_feat5,0.0
87,Desktop Computer_Q1_feat7,0.0
88,Desktop Computer_Q2_feat3,0.0
89,Desktop Computer_Q2_feat5,0.0
90,Desktop Computer_Q3_feat1,0.0
91,Desktop Computer_Q3_feat2,0.0
92,Desktop Computer_Q3_feat3,0.0
93,Desktop Computer_Q3_feat4,0.0
94,Desktop Computer_Q3_feat6,0.0
95,Desktop Computer_Q4_feat1,0.0
96,Desktop Computer_Q4_feat3,0.0
97,Desktop Computer_Q5_feat2,0.0
98,Desktop Computer_Q5_feat3,0.0
99,Desktop Computer_Q5_feat4,0.0
100,Desktop Computer_Q5_feat6,0.0
101,Desktop Computer_Q6_feat1,0.0
102,Desktop Computer_Q6_feat2,0.0
103,Desktop Computer_Q6_feat4,0.0
104,Desktop Computer_Q7_feat1,0.0
105,Desktop Computer_Q7_feat2,0.0
106,Desktop Computer_Q7_feat5,0.0
107,Desktop Computer_Q8_feat3,0.0
108,Desktop Computer_Q9_feat2,0.0
109,Desktop Computer_Q9_feat4,0.0
110,Desktop Computer_Q9_feat6,0.0
111,Desktop Computer_Q10_feat1,0.0
112,Desktop Computer_Q10_feat6,0.0
113,Desktop Computer_Q10_feat7,0.0
114,Desktop Computer_Q11_feat3,0.0
115,Desktop Computer_Q11_feat5,0.0
116,Desktop Computer_Q12_feat2,0.0
117,location_2,0.0
